Disaster,Location,District,Month,Day,Wind Speed(mph),Cyclone
Cyclone,Mahawewa,Puttalam,6,6,17.4,0
Cyclone,Karuwalagaswewa,Puttalam,4,1,8.2,0
Cyclone,Kolinjadiya,Puttalam,3,10,8.0,1
Cyclone,Anamaduwa,Puttalam,6,3,17.4,1
Cyclone,Arachchikattuwa,Puttalam,7,20,16.9,0
Cyclone,Kalpitiya,Puttalam,11,22,10.1,0
Cyclone,Arachchikattuwa,Puttalam,1,10,12.8,1
Cyclone,Katuneriya,Puttalam,12,26,12.3,1
Cyclone,Kandakuliya Beach,Puttalam,7,14,16.9,1
Cyclone,Merawala,Puttalam,5,14,14.2,1
Cyclone,Wennappuwa,Puttalam,1,10,12.8,1
Cyclone,Nattandiya,Puttalam,1,10,12.8,1
Cyclone,Mundalama,Puttalam,1,18,12.8,1
Cyclone,Mahakumbukkadawala,Puttalam,8,22,16.4,0
Cyclone,Anamaduwa,Puttalam,6,30,17.4,1
Cyclone,Vanathavilluwa,Puttalam,5,16,14.2,0
Cyclone,Puttalam,Puttalam,3,29,8.0,0
Cyclone,Palaviya,Puttalam,4,12,8.2,0
Cyclone,Wennappuwa,Puttalam,9,18,15.2,0
Cyclone,Kalpitiya,Puttalam,4,4,8.2,1
Cyclone,Lansiyagama,Puttalam,10,30,11.0,0
Cyclone,Mundalama,Puttalam,8,10,16.4,1
Cyclone,Kalpitiya,Puttalam,8,10,16.4,1
Cyclone,Ambakele,Puttalam,4,18,8.2,0
Cyclone,Ambakandavila,Puttalam,12,5,12.3,1
Cyclone,Puttalam,Puttalam,3,10,8.0,1
Cyclone,Vanathavilluwa,Puttalam,11,2,10.1,1
Cyclone,Chilaw,Puttalam,6,12,17.4,1
Cyclone,Dankotuwa,Puttalam,6,23,17.4,0
Cyclone,Puttalam,Puttalam,10,29,11.0,0
Cyclone,Kirimetiyana,Puttalam,10,12,11.0,0
Cyclone,Pallama,Puttalam,3,3,8.0,1
Cyclone,Nattandiya,Puttalam,5,17,14.2,0
Cyclone,Nattandiya,Puttalam,10,23,11.0,1
Cyclone,Chilaw,Puttalam,5,15,14.2,0
Cyclone,Puttalam,Puttalam,6,3,17.4,1
Cyclone,Puttalam,Puttalam,6,14,17.4,1
Cyclone,Weralabada,Puttalam,7,17,16.9,0
Cyclone,Kottapitiya,Puttalam,6,27,17.4,0
Cyclone,Kottapitiya,Puttalam,6,20,17.4,0
Cyclone,Puttalam,Puttalam,1,10,12.8,1
Cyclone,Nattandiya,Puttalam,6,4,17.4,0
Cyclone,Nattandiya,Puttalam,1,24,12.8,0
Cyclone,Pallama,Puttalam,1,29,12.8,0
Cyclone,Weralabada South,Puttalam,12,5,12.3,1
