Serial,Disaster,Code Region,Code District,Code Commune,Location,District,Date,Duration (d),Source,Year,Month,Landslide
LA2009,LANDSLIDE,lka009,lka009002,lka009002027,Yatiyanthota(GN),Kegalle,2009-08-16,0,Ds Office,2009,8,1
LA2009,LANDSLIDE,lka009,lka009002,lka009002012,Golahela(GN),Kegalle,2009-08-19,0,EOC,2009,8,1
LA2010,LANDSLIDE,lka009,lka009002,lka009002012,Nilwakka(GN),Kegalle,2010-01-12,0,EOC,2010,1,1
LA2010,LANDSLIDE,lka009,lka009002,lka009002015,Galsiyambalagama(GN),Kegalle,2010-04-26,0,EOC,2010,4,1
LA2010,LANDSLIDE,lka009,lka009002,lka009002030,"Malwarusawa, Galabalana Kanda(GN), Dikella(GN)",Kegalle,2010-05-18,0,Ds Office,2010,5,1
RA2010,RAINS,lka009,lka009002,lka009002012,Paragammana(GN),Kegalle,2010-11-25,0,EOC,2010,11,1
135478,LANDSLIDE,lka009,lka009002,lka009002018,,Kegalle,2011-01-06,0,DMC-EOC-DOB,2011,1,1
135479,LANDSLIDE,lka009,lka009002,lka009002024,Ambamalla GN,Kegalle,2011-01-06,0,DMC-EOC-DOB,2011,1,1
135488,LANDSLIDE,lka009,lka009002,lka009002012,Elawana,Kegalle,2011-04-13,0,DMC-EOC-DOB,2011,4,1
135615,LANDSLIDE,lka009,lka009002,lka009002015,Damala,Kegalle,2011-05-27,0,DMC EOC,2011,5,1
135617,LANDSLIDE,lka009,lka009002,lka009002024,Kendawa,Kegalle,2011-05-27,0,DMC EOC,2011,5,1
136787,LANDSLIDE,lka009,lka009002,lka009002015,,Kegalle,2011-05-27,12,DDMCU-Kegalle,2011,5,1
136789,LANDSLIDE,lka009,lka009002,lka009002024,,Kegalle,2011-05-27,12,DDMCU-Kegalle,2011,5,1
136790,LANDSLIDE,lka009,lka009002,lka009002033,,Kegalle,2011-05-27,12,DDMCU-Kegalle,2011,5,1
136711,LANDSLIDE,lka009,lka009002,lka009002006,,Kegalle,2013-11-25,0,EOC-DMC,2013,11,1
RA2000,RAINS,lka009,lka009001,lka009001015,Pallewela(GN),Ratnapura,2000-01-04,0,Ds Office,2000,1,1
RA2000,RAINS,lka009,lka009001,lka009001018,Welekumbura(GN),Ratnapura,2000-01-13,0,Ds Office,2000,1,1
RA2000,RAINS,lka009,lka009001,lka009001015,Oluganthota(GN),Ratnapura,2000-01-14,0,Ds Office,2000,1,1
RA2000,RAINS,lka009,lka009001,lka009001018,Yahalawela(GN),Ratnapura,2000-01-20,0,Ds Office,2000,1,1
RA2000,RAINS,lka009,lka009001,lka009001009,Kiriella(GN),Ratnapura,2000-02-21,0,Ds Office,2000,2,1
RA2000,RAINS,lka009,lka009001,lka009001015,Kumburuntheniwela(GN),Ratnapura,2000-03-25,0,Ds Office,2000,3,1
RA2000,RAINS,lka009,lka009001,lka009001015,Rawanakanda(GN),Ratnapura,2000-05-01,0,Ds Office,2000,5,1
RA2000,RAINS,lka009,lka009001,lka009001015,Pidaligannawela(GN),Ratnapura,2000-06-02,0,Ds Office,2000,6,1
RA2000,RAINS,lka009,lka009001,lka009001015,Udagama(GN),Ratnapura,2000-07-10,0,Ds Office,2000,7,1
