Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month,Day,Rainfall(mm),Wind Speed(mph)
STRONG WIND,7,7001,7001018.0,"Kallanchiya(Gn),Gonewa(Gn),",Anuradhapura,2005-01-05,2005,1,5,72.6,10.0
FLOOD,4,4001,4001027.0,Kerudavil East(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,4,4001,4001027.0,Alvai North(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,4,4001,4001027.0,Thuimpalai(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,4,4001,4001027.0,Thumpalai East(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,1,1002,1002039.0,Bollegala (Gn),Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,1,1002,1002030.0,Guruwala(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002039.0,Pattivila South (Gn),Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,1,1002,1002030.0,Udamapitigama South(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002039.0,Pattivila North (Gn),Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,1,1002,1002030.0,Giridara West(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,4,4001,4001027.0,Puloly North(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,2,2002,2002006.0,Welamitiyawa(Gn),Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,2,2002,2002006.0,Pannampitiya(Gn),Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,2,2002,2002006.0,Nayakumbura(Gn),Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,1,1001,1001003.0,Mahawatta (Gn),Colombo,2006-10-27,2006,10,27,369.0,9.8
FLOOD,1,1001,1001003.0,Nawagampura (Gn),Colombo,2006-10-27,2006,10,27,369.0,9.8
FLOOD,2,2002,2002006.0,Kapuwatta(Gn),Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,1,1002,1002039.0,Biyagama West (Gn),Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,1,1002,1002030.0,Malinda East(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1001,1001003.0,Grandpass South (Gn),Colombo,2006-10-27,2006,10,27,369.0,9.8
FLOOD,1,1001,1001003.0,Khettarama (Gn),Colombo,2006-10-27,2006,10,27,369.0,9.8
FLOOD,1,1002,1002039.0,Biyagama North (Gn),Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,1,1002,1002030.0,Pattiyagama(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002039.0,Gonawala West (Gn),Gampaha,2008-01-06,2008,1,6,29.0,10.2
FLOOD,1,1002,1002030.0,Dangalla(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002039.0,Siyambalape South (Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,2,2002,2002006.0,Dambulla Town(Gn),Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,1,1001,1001003.0,Grandpass North (Gn),Colombo,2006-10-27,2006,10,27,369.0,9.8
FLOOD,2,2002,2002006.0,Rathmalgaha Ela(Gn),Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,2,2002,2002006.0,Pohoranwewa(Gn),Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,4,4001,4001027.0,Valvettithurai North West(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,2,2002,2002006.0,Athuparayaya(Gn),Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,1,1002,1002030.0,Dangalla North(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002039.0,Kanduboda East (Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,1,1002,1002039.0,Heiyanthuduwa East (Gn),Gampaha,2008-03-06,2008,3,6,55.0,5.9
FLOOD,1,1002,1002030.0,Kapugoda(Gn),Gampaha,2008-02-06,2008,2,6,36.0,7.7
FLOOD,4,4001,4001027.0,Puloly South(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,2,2002,2002006.0,Pahalawewa(Gn),Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,4,4001,4001027.0,Manthikai(Gn),Jaffna,2007-12-23,2007,12,23,293.6,14.2
FLOOD,2,2002,2002006.0,Haluapullanawewa(Gn),Matale,2007-12-22,2007,12,22,185.0,4.8
FLOOD,1,1002,1002039.0,Heiyanthuduwa South (Gn),Gampaha,2008-03-06,2008,3,6,55.0,5.9
FLOOD,1,1002,1002030.0,Dompe(Gn),Gampaha,2008-03-06,2008,3,6,55.0,5.9
