Serial,Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month
LA2002,LANDSLIDE,lka008,lka008001,lka008001042,Koslanda(GN),Badulla,2002-06-05,2002,6
LA2002,LANDSLIDE,lka009,lka009001,lka009001015,Puwakgahawela(GN),Ratnapura,2002-05-10,2002,5
LA2002,LANDSLIDE,lka008,lka008001,lka008001042,Beragala(GN),Badulla,2002-09-11,2002,9
LA2003,LANDSLIDE,lka008,lka008001,lka008001042,Haldummulla(GN),Badulla,2003-11-05,2003,11
LA2003,LANDSLIDE,lka009,lka009001,lka009001027,Palawela(GN),Ratnapura,2003-05-17,2003,5
LA2003,LANDSLIDE,lka009,lka009001,lka009001036,Deiwala(GN),Ratnapura,2003-05-18,2003,5
LA2003,LANDSLIDE,lka002,lka002003,lka002003015,"Mejilwatta,Herintanwatta,Glasgrowatta",Nuwara Eliya,2003-05-20,2003,5
LA2003,LANDSLIDE,lka009,lka009001,lka009001039,Kalaella(GN),Ratnapura,2003-05-26,2003,5
LA2003,LANDSLIDE,lka002,lka002003,lka002003012,Agarapathana(GN),Nuwara Eliya,2003-02-06,2003,2
LA2003,LANDSLIDE,lka003,lka003001,lka003001048,Nakiyadeniya(GN),Galle,2003-04-10,2003,4
LA2003,LANDSLIDE,lka009,lka009002,lka009002015,Palagala Watta,Kegalle,2003-11-21,2003,11
LA2003,LANDSLIDE,lka009,lka009001,lka009001018,Mawela(GN),Ratnapura,2003-12-16,2003,12
LA2004,LANDSLIDE,lka009,lka009001,lka009001012,Weralupae(GN),Ratnapura,2004-04-27,2004,4
LA2004,LANDSLIDE,lka008,lka008001,lka008001019,Rendapola(GN),Badulla,2004-12-14,2004,12
LA2004,LANDSLIDE,lka006,lka006001,lka006001063,Udahena(GN),Kurunegala,2004-12-15,2004,12
