,District,Year,1,2,3,4,5,6,7,8,9,10,11,12
244,Trincomalee,2015,36.2,184.1,68.7,48.0,122.6,22.3,9.5,30.7,255.6,393.8,647.7,211.1
245,Trincomalee,2016,101.4,22.3,43.5,4.1,331.6,0.1,81.2,58.5,9.2,87.9,175.4,81.1
246,Trincomalee,2017,179.7,18.6,234.8,0.0,40.0,1.4,171.9,106.6,94.9,277.4,510.9,142.6
247,Trincomalee,2018,12.3,207.5,15.2,51.1,298.4,91.7,18.4,85.4,26.2,401.8,473.8,349.5
248,Trincomalee,2019,16.6,126.6,0.0,4.7,38.1,6.6,74.0,22.6,167.4,204.9,307.3,557.1
249,Trincomalee,2020,41.7,19.4,0.0,13.8,10.6,32.8,65.5,17.5,224.9,61.9,480.0,528.8
250,Trincomalee,2021,229.5,41.4,17.9,73.2,28.9,7.8,71.9,39.7,203.3,298.3,566.4,113.2
253,Vavuniya,2010,109.0,0.8,83.6,143.1,35.0,1.3,22.4,40.3,200.9,77.9,410.7,334.6
254,Vavuniya,2011,357.8,297.1,25.8,157.2,2.4,16.1,24.3,171.1,4.6,223.8,406.4,182.6
255,Vavuniya,2012,29.9,44.4,12.7,84.9,21.5,0.0,26.0,0.0,43.6,472.0,189.7,634.6
256,Vavuniya,2013,100.9,264.4,179.6,77.5,108.8,1.7,24.5,95.3,18.3,194.9,160.3,78.3
257,Vavuniya,2014,264.5,17.7,1.6,154.3,250.0,0.4,8.4,55.2,118.2,356.6,410.1,469.0
258,Vavuniya,2015,0.7,194.1,82.2,187.3,277.2,8.3,0.0,71.0,174.1,193.1,402.6,205.1
259,Vavuniya,2016,136.1,17.5,1.6,16.0,477.4,4.6,42.0,23.5,0.4,113.2,232.4,89.2
260,Vavuniya,2017,262.2,23.5,145.6,91.4,171.8,12.7,24.1,147.1,211.6,198.2,223.5,59.6
261,Vavuniya,2018,27.7,18.0,123.3,111.1,245.3,0.6,16.0,44.7,123.5,417.6,244.2,178.1
263,Vavuniya,2020,23.7,15.6,12.9,67.4,196.4,58.1,197.9,32.1,35.9,81.0,266.1,337.4
264,Vavuniya,2021,233.0,19.1,11.8,151.5,86.1,33.1,9.0,123.5,170.4,294.5,385.9,156.8
