Disaster,Location,District,Year,Month,Day,Wind Speed(mph),Cyclone
Cyclone,Bulathgama,Ratnapura,2002,4,6,0.18,0
Cyclone,Kalupedigama,Ratnapura,2002,2,3,0.18,0
Cyclone,Balangoda Town,Ratnapura,2002,2,8,0.18,0
Cyclone,Meddekanda,Ratnapura,2003,12,20,0.22,0
Cyclone,Wijanathkumbura,Ratnapura,2003,6,10,0.42,0
Cyclone,Eheliyagoda,Ratnapura,2018,6,4,0.42,1
Cyclone,Thanjanthenna,Ratnapura,2003,7,16,0.4,0
Cyclone,Balangoda,Ratnapura,2018,6,11,0.42,1
Cyclone,Nivithigala,Ratnapura,2018,6,11,0.42,1
Cyclone,Godakawela,Ratnapura,2018,6,11,0.42,1
Cyclone,Kahawatta,Ratnapura,2018,6,11,0.42,1
Cyclone,Opanayaka,Ratnapura,2018,6,11,0.42,1
Cyclone,Kalawana,Ratnapura,2018,6,11,0.42,1
Cyclone,Imbulpe,Ratnapura,2018,6,11,0.42,1
Cyclone,Thalangama,Ratnapura,2003,2,12,0.18,0
Cyclone,Kahawatta,Ratnapura,2006,10,22,0.26,1
Cyclone,Kahawatta,Ratnapura,2018,7,2,0.4,1
Cyclone,Kahawatta,Ratnapura,2006,11,18,0.2,1
Cyclone,Kiriella,Ratnapura,2019,10,28,0.26,0
Cyclone,Eheliyagoda,Ratnapura,2018,5,20,0.33,1
Cyclone,Ratnapura,Ratnapura,2018,5,20,0.33,1
Cyclone,Vikiliya,Ratnapura,2002,6,14,0.42,0
Cyclone,Bowatta,Ratnapura,2002,6,6,0.42,0
Cyclone,Horaketiya,Ratnapura,2002,12,7,0.22,0
Cyclone,Ratnapura,Ratnapura,2018,5,3,0.33,1
Cyclone,Rassagala,Ratnapura,2001,6,11,0.42,0
Cyclone,Kiridigala,Ratnapura,2001,7,2,0.4,0
Cyclone,Pelmadulla,Ratnapura,2009,5,21,0.33,1
Cyclone,Balangoda,Ratnapura,2001,2,20,0.18,0
Cyclone,Kuruvita,Ratnapura,2018,8,28,0.39,0
Cyclone,Opanayaka,Ratnapura,2018,8,18,0.39,0
Cyclone,Eheliyagoda,Ratnapura,2018,8,17,0.39,0
Cyclone,Kiriella,Ratnapura,2018,8,19,0.39,0
Cyclone,Elapatha,Ratnapura,2018,8,5,0.39,0
Cyclone,Kahawatta,Ratnapura,2018,8,10,0.39,0
Cyclone,Kolonna,Ratnapura,2018,8,5,0.39,0
Cyclone,Thumbagoda,Ratnapura,2001,6,22,0.42,0
Cyclone,Nivithigala,Ratnapura,2018,8,11,0.39,0
Cyclone,Molamuraya,Ratnapura,2002,9,20,0.37,0
Cyclone,Kalthota,Ratnapura,2002,6,14,0.42,0
Cyclone,Uggalkalthota Left Bank South,Ratnapura,2002,5,3,0.33,0
Cyclone,Polwathugoda,Ratnapura,2002,6,8,0.42,0
Cyclone,Pelmadulla,Ratnapura,2009,4,28,0.18,1
Cyclone,Pelmadulla,Ratnapura,2009,4,27,0.18,1
Cyclone,Opanayaka,Ratnapura,2018,4,21,0.18,1
Cyclone,Balangoda,Ratnapura,2018,4,11,0.18,1
Cyclone,Pelmadulla,Ratnapura,2009,3,10,0.13,1
Cyclone,Kahawatta,Ratnapura,2006,10,15,0.26,1
Cyclone,Kolonna,Ratnapura,2018,4,30,0.18,1
Cyclone,Pelmadulla,Ratnapura,2009,5,20,0.33,1
Cyclone,Kahawatta,Ratnapura,2018,5,20,0.33,1
Cyclone,Rassagala,Ratnapura,2005,5,19,0.33,0
Cyclone,Horaketiya,Ratnapura,2005,5,6,0.33,0
Cyclone,Sidurupitiya,Ratnapura,2007,12,6,0.22,0
Cyclone,Weligepola,Ratnapura,2007,8,10,0.39,1
Cyclone,Weligepola,Ratnapura,2007,7,10,0.4,1
Cyclone,Weligepola,Ratnapura,2007,7,16,0.4,1
Cyclone,Weligepola,Ratnapura,2000,7,10,0.4,1
Cyclone,Weligepola,Ratnapura,2007,6,21,0.42,1
Cyclone,Weligepola,Ratnapura,2007,7,3,0.4,1
Cyclone,Weligepola,Ratnapura,2007,6,24,0.42,1
Cyclone,Weligepola,Ratnapura,2007,1,29,0.21,1
Cyclone,Nivithigala,Ratnapura,2015,9,16,0.37,1
Cyclone,Elapatha,Ratnapura,2019,3,25,0.13,0
Cyclone,Ratnapura,Ratnapura,2019,3,8,0.13,0
Cyclone,Ayagama,Ratnapura,2019,3,9,0.13,0
Cyclone,Eheliyagoda,Ratnapura,2015,9,16,0.37,1
Cyclone,Weligepola,Ratnapura,2007,1,3,0.21,1
Cyclone,Weligepola,Ratnapura,2003,5,21,0.33,1
Cyclone,Kolonna,Ratnapura,2019,9,19,0.37,0
Cyclone,Weligepola,Ratnapura,2008,8,1,0.39,1
Cyclone,Weligepola,Ratnapura,2009,7,1,0.4,1
Cyclone,Weligepola,Ratnapura,2009,5,19,0.33,1
Cyclone,Weligepola,Ratnapura,2009,6,4,0.42,1
Cyclone,Weligepola,Ratnapura,2008,10,18,0.26,1
Cyclone,Weligepola,Ratnapura,2008,6,8,0.42,1
Cyclone,Kahawatta,Ratnapura,2008,7,25,0.4,1
Cyclone,Kahawatta,Ratnapura,2008,11,7,0.2,1
Cyclone,Kahawatta,Ratnapura,2008,10,7,0.26,1
Cyclone,Kahawatta,Ratnapura,2008,6,28,0.42,1
Cyclone,Kahawatta,Ratnapura,2006,12,26,0.22,1
Cyclone,Kahawatta,Ratnapura,2007,1,15,0.21,1
Cyclone,Kahawatta,Ratnapura,2006,11,24,0.2,1
Cyclone,Kahawatta,Ratnapura,2008,9,6,0.37,1
Cyclone,Kahawatta,Ratnapura,2009,4,7,0.18,1
Cyclone,Kahawatta,Ratnapura,2008,7,23,0.4,1
Cyclone,Kahawatta,Ratnapura,2008,8,19,0.39,1
Cyclone,Kahawatta,Ratnapura,2008,6,13,0.42,1
Cyclone,Kahawatta,Ratnapura,2008,2,6,0.18,1
Cyclone,Kahawatta,Ratnapura,2008,4,15,0.18,1
Cyclone,Kahawatta,Ratnapura,2007,12,30,0.22,1
Cyclone,Weligepola,Ratnapura,2008,3,20,0.13,1
Cyclone,Ratnapura,Ratnapura,2014,10,8,0.26,1
Cyclone,Kahawatta,Ratnapura,2007,4,29,0.18,1
Cyclone,Eheliyagoda,Ratnapura,2015,3,27,0.13,1
Cyclone,Kahawatta,Ratnapura,2007,12,10,0.22,1
Cyclone,Kahawatta,Ratnapura,2008,7,11,0.4,1
Cyclone,Kahawatta,Ratnapura,2008,2,20,0.18,1
Cyclone,Kuruvita,Ratnapura,2015,4,24,0.18,1
Cyclone,Eheliyagoda,Ratnapura,2015,4,24,0.18,1
Cyclone,Kahawatta,Ratnapura,2007,6,25,0.42,1
Cyclone,Kahawatta,Ratnapura,2009,1,19,0.21,1
Cyclone,Kahawatta,Ratnapura,2009,2,27,0.18,1
Cyclone,Kahawatta,Ratnapura,2008,3,20,0.13,1
Cyclone,Kahawatta,Ratnapura,2008,7,22,0.4,1
Cyclone,Panapitiya North,Ratnapura,2006,3,3,0.13,0
Cyclone,Weligepola,Ratnapura,2006,5,10,0.33,1
Cyclone,Weligepola,Ratnapura,2005,7,25,0.4,1
Cyclone,Kumburugamuwa,Ratnapura,2005,11,2,0.2,0
Cyclone,Kuruvita,Ratnapura,2018,10,28,0.26,0
Cyclone,Kumburugamuwa,Ratnapura,2006,11,1,0.2,0
Cyclone,Bopitigoda,Ratnapura,2006,11,4,0.2,0
Cyclone,Balangoda,Ratnapura,2019,9,12,0.37,0
Cyclone,Kalawana,Ratnapura,2019,9,30,0.37,0
Cyclone,Pelmadulla,Ratnapura,2007,7,5,0.4,1
Cyclone,Pallekada,Ratnapura,2009,11,19,0.2,0
Cyclone,Bulathgama,Ratnapura,2004,3,25,0.13,0
Cyclone,Kuruvita,Ratnapura,2017,3,12,0.13,1
Cyclone,Pelmadulla,Ratnapura,2007,6,17,0.42,1
Cyclone,Pelmadulla,Ratnapura,2007,6,15,0.42,1
Cyclone,Ratnapura,Ratnapura,2017,3,12,0.13,1
Cyclone,Opanayaka,Ratnapura,2019,10,22,0.26,0
Cyclone,Wijanathkumbura,Ratnapura,2004,3,24,0.13,0
Cyclone,Nugawela West,Ratnapura,2006,10,23,0.26,0
Cyclone,Thennahena,Ratnapura,2006,11,5,0.2,0
Cyclone,Gabbela,Ratnapura,2006,10,21,0.26,0
Cyclone,Kosgaha Mankada,Ratnapura,2002,9,28,0.37,0
Cyclone,Diyavinna,Ratnapura,2002,9,20,0.37,0
Cyclone,Kalupedigama,Ratnapura,2002,9,9,0.37,0
Cyclone,Bungiriya,Ratnapura,2006,10,23,0.26,0
Cyclone,Kirimetithenna,Ratnapura,2005,5,14,0.33,0
Cyclone,Balavinna West,Ratnapura,2002,2,12,0.18,0
Cyclone,Elapatha,Ratnapura,2019,9,2,0.37,0
Cyclone,Ratnapura,Ratnapura,2019,9,16,0.37,0
Cyclone,Pelmadulla,Ratnapura,2007,7,9,0.4,1
Cyclone,Weligepola,Ratnapura,2005,3,21,0.13,1
Cyclone,Weligepola,Ratnapura,2005,3,20,0.13,1
Cyclone,Weligepola,Ratnapura,2005,4,13,0.18,1
